,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.04,0.0,0.86,0.19,0.32
0.65,0.1,0.02,0.9,0.43,0.58
0.70,0.17,0.08,0.91,0.63,0.74
0.75,0.27,0.24,0.92,0.8,0.86
0.80,0.4,0.31,0.91,0.92,0.92
0.85,0.2,0.21,0.9,0.98,0.94
0.90,0.02,0.07,0.88,0.99,0.93
max
0.60,0.04,0.0,0.86,0.19,0.32
0.65,0.1,0.02,0.9,0.43,0.58
0.70,0.17,0.08,0.91,0.63,0.74
0.75,0.27,0.24,0.92,0.8,0.86
0.80,0.4,0.31,0.91,0.92,0.92
0.85,0.2,0.21,0.9,0.98,0.94
0.90,0.02,0.07,0.88,0.99,0.93
min
0.60,0.04,0.0,0.86,0.19,0.32
0.65,0.1,0.02,0.9,0.43,0.58
0.70,0.17,0.08,0.91,0.63,0.74
0.75,0.27,0.24,0.92,0.8,0.86
0.80,0.4,0.31,0.91,0.92,0.92
0.85,0.2,0.21,0.9,0.98,0.94
0.90,0.02,0.07,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 14345.42 seconds
