,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.17,0.11,0.91,0.64,0.75
0.65,0.2,0.15,0.91,0.7,0.79
0.70,0.24,0.21,0.92,0.77,0.84
0.75,0.31,0.27,0.92,0.85,0.88
0.80,0.36,0.27,0.91,0.93,0.92
0.85,0.17,0.17,0.89,0.98,0.94
0.90,0.02,0.06,0.88,0.99,0.93
max
0.60,0.17,0.11,0.91,0.64,0.75
0.65,0.2,0.15,0.91,0.7,0.79
0.70,0.24,0.21,0.92,0.77,0.84
0.75,0.31,0.27,0.92,0.85,0.88
0.80,0.36,0.27,0.91,0.93,0.92
0.85,0.17,0.17,0.89,0.98,0.94
0.90,0.02,0.06,0.88,0.99,0.93
min
0.60,0.17,0.11,0.91,0.64,0.75
0.65,0.2,0.15,0.91,0.7,0.79
0.70,0.24,0.21,0.92,0.77,0.84
0.75,0.31,0.27,0.92,0.85,0.88
0.80,0.36,0.27,0.91,0.93,0.92
0.85,0.17,0.17,0.89,0.98,0.94
0.90,0.02,0.06,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 13832.32 seconds
