,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.17,0.13,0.9,0.65,0.75
0.65,0.2,0.17,0.91,0.7,0.79
0.70,0.24,0.21,0.91,0.78,0.84
0.75,0.3,0.27,0.91,0.85,0.88
0.80,0.36,0.27,0.91,0.93,0.92
0.85,0.17,0.19,0.89,0.98,0.94
0.90,0.02,0.06,0.88,0.99,0.93
max
0.60,0.17,0.13,0.9,0.65,0.75
0.65,0.2,0.17,0.91,0.7,0.79
0.70,0.24,0.21,0.91,0.78,0.84
0.75,0.3,0.27,0.91,0.85,0.88
0.80,0.36,0.27,0.91,0.93,0.92
0.85,0.17,0.19,0.89,0.98,0.94
0.90,0.02,0.06,0.88,0.99,0.93
min
0.60,0.17,0.13,0.9,0.65,0.75
0.65,0.2,0.17,0.91,0.7,0.79
0.70,0.24,0.21,0.91,0.78,0.84
0.75,0.3,0.27,0.91,0.85,0.88
0.80,0.36,0.27,0.91,0.93,0.92
0.85,0.17,0.19,0.89,0.98,0.94
0.90,0.02,0.06,0.88,0.99,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 13039.41 seconds
