,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.95,0.01,0.02
0.60,0.02,0.0,0.9,0.19,0.31
0.70,0.16,0.02,0.9,0.74,0.82
0.80,0.17,0.21,0.89,0.98,0.93
0.90,0.02,0.08,0.88,0.99,0.93
max
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.95,0.01,0.02
0.60,0.02,0.0,0.9,0.19,0.31
0.70,0.16,0.02,0.9,0.74,0.82
0.80,0.17,0.21,0.89,0.98,0.93
0.90,0.02,0.08,0.88,0.99,0.93
min
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.50,0.0,0.0,0.95,0.01,0.02
0.60,0.02,0.0,0.9,0.19,0.31
0.70,0.16,0.02,0.9,0.74,0.82
0.80,0.17,0.21,0.89,0.98,0.93
0.90,0.02,0.08,0.88,0.99,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 1943.95 seconds
