,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.12,0.07,0.88,0.58,0.7
0.40,0.16,0.13,0.89,0.69,0.78
0.50,0.2,0.19,0.9,0.79,0.84
0.55,0.23,0.21,0.9,0.82,0.86
0.60,0.27,0.23,0.9,0.87,0.88
0.65,0.31,0.24,0.9,0.91,0.91
0.70,0.26,0.25,0.9,0.95,0.93
0.75,0.21,0.23,0.9,0.97,0.93
0.80,0.13,0.16,0.89,0.99,0.94
0.90,0.02,0.07,0.88,1.0,0.93
max
0.30,0.12,0.07,0.88,0.58,0.7
0.40,0.16,0.13,0.89,0.69,0.78
0.50,0.2,0.19,0.9,0.79,0.84
0.55,0.23,0.21,0.9,0.82,0.86
0.60,0.27,0.23,0.9,0.87,0.88
0.65,0.31,0.24,0.9,0.91,0.91
0.70,0.26,0.25,0.9,0.95,0.93
0.75,0.21,0.23,0.9,0.97,0.93
0.80,0.13,0.16,0.89,0.99,0.94
0.90,0.02,0.07,0.88,1.0,0.93
min
0.30,0.12,0.07,0.88,0.58,0.7
0.40,0.16,0.13,0.89,0.69,0.78
0.50,0.2,0.19,0.9,0.79,0.84
0.55,0.23,0.21,0.9,0.82,0.86
0.60,0.27,0.23,0.9,0.87,0.88
0.65,0.31,0.24,0.9,0.91,0.91
0.70,0.26,0.25,0.9,0.95,0.93
0.75,0.21,0.23,0.9,0.97,0.93
0.80,0.13,0.16,0.89,0.99,0.94
0.90,0.02,0.07,0.88,1.0,0.93
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 11758.05 seconds
