,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.03,0.0,0.9,0.27,0.41
0.65,0.07,0.01,0.9,0.48,0.62
0.70,0.14,0.02,0.9,0.71,0.8
0.75,0.24,0.16,0.9,0.92,0.91
0.80,0.17,0.19,0.89,0.97,0.93
0.85,0.1,0.16,0.89,0.99,0.94
0.90,0.03,0.09,0.88,1.0,0.93
max
0.60,0.03,0.0,0.9,0.27,0.41
0.65,0.07,0.01,0.9,0.48,0.62
0.70,0.14,0.02,0.9,0.71,0.8
0.75,0.24,0.16,0.9,0.92,0.91
0.80,0.17,0.19,0.89,0.97,0.93
0.85,0.1,0.16,0.89,0.99,0.94
0.90,0.03,0.09,0.88,1.0,0.93
min
0.60,0.03,0.0,0.9,0.27,0.41
0.65,0.07,0.01,0.9,0.48,0.62
0.70,0.14,0.02,0.9,0.71,0.8
0.75,0.24,0.16,0.9,0.92,0.91
0.80,0.17,0.19,0.89,0.97,0.93
0.85,0.1,0.16,0.89,0.99,0.94
0.90,0.03,0.09,0.88,1.0,0.93
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 788.63 seconds
