,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.19,0.17,0.89,0.77,0.83
0.55,0.21,0.18,0.9,0.81,0.85
0.60,0.25,0.2,0.9,0.86,0.88
0.65,0.27,0.22,0.9,0.92,0.91
0.70,0.19,0.19,0.89,0.96,0.93
0.75,0.13,0.15,0.89,0.98,0.93
0.80,0.06,0.1,0.88,0.99,0.93
0.90,-0.03,0.02,0.87,1.0,0.93
max
0.50,0.19,0.17,0.89,0.77,0.83
0.55,0.21,0.18,0.9,0.81,0.85
0.60,0.25,0.2,0.9,0.86,0.88
0.65,0.27,0.22,0.9,0.92,0.91
0.70,0.19,0.19,0.89,0.96,0.93
0.75,0.13,0.15,0.89,0.98,0.93
0.80,0.06,0.1,0.88,0.99,0.93
0.90,-0.03,0.02,0.87,1.0,0.93
min
0.50,0.19,0.17,0.89,0.77,0.83
0.55,0.21,0.18,0.9,0.81,0.85
0.60,0.25,0.2,0.9,0.86,0.88
0.65,0.27,0.22,0.9,0.92,0.91
0.70,0.19,0.19,0.89,0.96,0.93
0.75,0.13,0.15,0.89,0.98,0.93
0.80,0.06,0.1,0.88,0.99,0.93
0.90,-0.03,0.02,0.87,1.0,0.93
std
0.50,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 8457.49 seconds
