,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.36,0.35,0.94,0.85,0.89
0.10,0.48,0.37,0.93,0.92,0.92
0.15,0.45,0.34,0.92,0.95,0.94
0.20,0.36,0.29,0.91,0.97,0.94
0.25,0.27,0.24,0.9,0.98,0.94
0.30,0.21,0.2,0.9,0.99,0.94
0.35,0.14,0.15,0.89,0.99,0.94
0.40,0.09,0.11,0.89,0.99,0.94
0.45,0.05,0.09,0.88,0.99,0.93
max
0.05,0.36,0.35,0.94,0.85,0.89
0.10,0.48,0.37,0.93,0.92,0.92
0.15,0.45,0.34,0.92,0.95,0.94
0.20,0.36,0.29,0.91,0.97,0.94
0.25,0.27,0.24,0.9,0.98,0.94
0.30,0.21,0.2,0.9,0.99,0.94
0.35,0.14,0.15,0.89,0.99,0.94
0.40,0.09,0.11,0.89,0.99,0.94
0.45,0.05,0.09,0.88,0.99,0.93
min
0.05,0.36,0.35,0.94,0.85,0.89
0.10,0.48,0.37,0.93,0.92,0.92
0.15,0.45,0.34,0.92,0.95,0.94
0.20,0.36,0.29,0.91,0.97,0.94
0.25,0.27,0.24,0.9,0.98,0.94
0.30,0.21,0.2,0.9,0.99,0.94
0.35,0.14,0.15,0.89,0.99,0.94
0.40,0.09,0.11,0.89,0.99,0.94
0.45,0.05,0.09,0.88,0.99,0.93
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 56746.60 seconds
