,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.24,0.15,0.96,0.66,0.78
0.10,0.32,0.23,0.96,0.76,0.85
0.15,0.44,0.45,0.96,0.86,0.91
0.20,0.58,0.56,0.96,0.92,0.94
0.25,0.7,0.62,0.96,0.96,0.96
0.30,0.63,0.58,0.95,0.98,0.97
0.35,0.59,0.54,0.94,0.99,0.97
0.40,0.56,0.52,0.94,1.0,0.97
0.45,0.54,0.51,0.94,1.0,0.97
max
0.05,0.24,0.15,0.96,0.66,0.78
0.10,0.32,0.23,0.96,0.76,0.85
0.15,0.44,0.45,0.96,0.86,0.91
0.20,0.58,0.56,0.96,0.92,0.94
0.25,0.7,0.62,0.96,0.96,0.96
0.30,0.63,0.58,0.95,0.98,0.97
0.35,0.59,0.54,0.94,0.99,0.97
0.40,0.56,0.52,0.94,1.0,0.97
0.45,0.54,0.51,0.94,1.0,0.97
min
0.05,0.24,0.15,0.96,0.66,0.78
0.10,0.32,0.23,0.96,0.76,0.85
0.15,0.44,0.45,0.96,0.86,0.91
0.20,0.58,0.56,0.96,0.92,0.94
0.25,0.7,0.62,0.96,0.96,0.96
0.30,0.63,0.58,0.95,0.98,0.97
0.35,0.59,0.54,0.94,0.99,0.97
0.40,0.56,0.52,0.94,1.0,0.97
0.45,0.54,0.51,0.94,1.0,0.97
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 247.99 seconds
