,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.02,0.0,0.99,0.11,0.2
0.10,0.02,0.0,0.97,0.13,0.23
0.15,0.08,0.01,0.95,0.4,0.56
0.20,0.27,0.05,0.96,0.75,0.84
0.25,0.65,0.47,0.95,0.95,0.95
0.30,0.62,0.56,0.95,0.99,0.97
0.35,0.58,0.54,0.94,0.99,0.97
0.40,0.56,0.52,0.94,1.0,0.97
0.45,0.53,0.5,0.94,1.0,0.97
max
0.05,0.02,0.0,0.99,0.11,0.2
0.10,0.02,0.0,0.97,0.13,0.23
0.15,0.08,0.01,0.95,0.4,0.56
0.20,0.27,0.05,0.96,0.75,0.84
0.25,0.65,0.47,0.95,0.95,0.95
0.30,0.62,0.56,0.95,0.99,0.97
0.35,0.58,0.54,0.94,0.99,0.97
0.40,0.56,0.52,0.94,1.0,0.97
0.45,0.53,0.5,0.94,1.0,0.97
min
0.05,0.02,0.0,0.99,0.11,0.2
0.10,0.02,0.0,0.97,0.13,0.23
0.15,0.08,0.01,0.95,0.4,0.56
0.20,0.27,0.05,0.96,0.75,0.84
0.25,0.65,0.47,0.95,0.95,0.95
0.30,0.62,0.56,0.95,0.99,0.97
0.35,0.58,0.54,0.94,0.99,0.97
0.40,0.56,0.52,0.94,1.0,0.97
0.45,0.53,0.5,0.94,1.0,0.97
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 5431.80 seconds
