,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.22,0.14,0.94,0.66,0.78
0.10,0.31,0.27,0.94,0.8,0.86
0.15,0.4,0.32,0.93,0.88,0.91
0.20,0.44,0.31,0.92,0.93,0.93
0.25,0.33,0.27,0.91,0.96,0.93
0.30,0.26,0.23,0.9,0.98,0.94
0.35,0.17,0.17,0.89,0.98,0.94
0.45,0.06,0.08,0.88,0.99,0.93
max
0.05,0.22,0.14,0.94,0.66,0.78
0.10,0.31,0.27,0.94,0.8,0.86
0.15,0.4,0.32,0.93,0.88,0.91
0.20,0.44,0.31,0.92,0.93,0.93
0.25,0.33,0.27,0.91,0.96,0.93
0.30,0.26,0.23,0.9,0.98,0.94
0.35,0.17,0.17,0.89,0.98,0.94
0.45,0.06,0.08,0.88,0.99,0.93
min
0.05,0.22,0.14,0.94,0.66,0.78
0.10,0.31,0.27,0.94,0.8,0.86
0.15,0.4,0.32,0.93,0.88,0.91
0.20,0.44,0.31,0.92,0.93,0.93
0.25,0.33,0.27,0.91,0.96,0.93
0.30,0.26,0.23,0.9,0.98,0.94
0.35,0.17,0.17,0.89,0.98,0.94
0.45,0.06,0.08,0.88,0.99,0.93
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 76505.82 seconds
