,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.0,0.0,1.0,0.0,0.0
0.15,0.05,0.0,0.97,0.26,0.41
0.25,0.31,0.07,0.93,0.84,0.88
0.30,0.36,0.18,0.91,0.93,0.92
0.35,0.25,0.19,0.9,0.96,0.93
0.40,0.13,0.16,0.89,0.98,0.93
max
0.05,0.0,0.0,1.0,0.0,0.0
0.15,0.05,0.0,0.97,0.26,0.41
0.25,0.31,0.07,0.93,0.84,0.88
0.30,0.36,0.18,0.91,0.93,0.92
0.35,0.25,0.19,0.9,0.96,0.93
0.40,0.13,0.16,0.89,0.98,0.93
min
0.05,0.0,0.0,1.0,0.0,0.0
0.15,0.05,0.0,0.97,0.26,0.41
0.25,0.31,0.07,0.93,0.84,0.88
0.30,0.36,0.18,0.91,0.93,0.92
0.35,0.25,0.19,0.9,0.96,0.93
0.40,0.13,0.16,0.89,0.98,0.93
std
0.05,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
test finished in 57572.84 seconds
