,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.3,0.23,0.96,0.74,0.83
0.10,0.35,0.34,0.96,0.79,0.87
0.15,0.42,0.42,0.96,0.85,0.9
0.20,0.55,0.55,0.96,0.91,0.94
0.25,0.67,0.59,0.96,0.95,0.95
0.30,0.65,0.55,0.95,0.97,0.96
0.35,0.61,0.55,0.95,0.99,0.97
0.40,0.58,0.54,0.94,0.99,0.97
0.45,0.55,0.53,0.94,1.0,0.97
max
0.05,0.3,0.23,0.96,0.74,0.83
0.10,0.35,0.34,0.96,0.79,0.87
0.15,0.42,0.42,0.96,0.85,0.9
0.20,0.55,0.55,0.96,0.91,0.94
0.25,0.67,0.59,0.96,0.95,0.95
0.30,0.65,0.55,0.95,0.97,0.96
0.35,0.61,0.55,0.95,0.99,0.97
0.40,0.58,0.54,0.94,0.99,0.97
0.45,0.55,0.53,0.94,1.0,0.97
min
0.05,0.3,0.23,0.96,0.74,0.83
0.10,0.35,0.34,0.96,0.79,0.87
0.15,0.42,0.42,0.96,0.85,0.9
0.20,0.55,0.55,0.96,0.91,0.94
0.25,0.67,0.59,0.96,0.95,0.95
0.30,0.65,0.55,0.95,0.97,0.96
0.35,0.61,0.55,0.95,0.99,0.97
0.40,0.58,0.54,0.94,0.99,0.97
0.45,0.55,0.53,0.94,1.0,0.97
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 7063.46 seconds
