,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.24,0.15,0.96,0.66,0.78
0.10,0.32,0.28,0.96,0.76,0.85
0.15,0.37,0.33,0.96,0.81,0.88
0.20,0.41,0.36,0.96,0.84,0.9
0.25,0.47,0.38,0.96,0.88,0.92
0.30,0.56,0.46,0.96,0.92,0.94
0.35,0.67,0.59,0.95,0.97,0.96
0.40,0.64,0.61,0.95,0.98,0.97
0.45,0.58,0.55,0.94,1.0,0.97
max
0.05,0.24,0.15,0.96,0.66,0.78
0.10,0.32,0.28,0.96,0.76,0.85
0.15,0.37,0.33,0.96,0.81,0.88
0.20,0.41,0.36,0.96,0.84,0.9
0.25,0.47,0.38,0.96,0.88,0.92
0.30,0.56,0.46,0.96,0.92,0.94
0.35,0.67,0.59,0.95,0.97,0.96
0.40,0.64,0.61,0.95,0.98,0.97
0.45,0.58,0.55,0.94,1.0,0.97
min
0.05,0.24,0.15,0.96,0.66,0.78
0.10,0.32,0.28,0.96,0.76,0.85
0.15,0.37,0.33,0.96,0.81,0.88
0.20,0.41,0.36,0.96,0.84,0.9
0.25,0.47,0.38,0.96,0.88,0.92
0.30,0.56,0.46,0.96,0.92,0.94
0.35,0.67,0.59,0.95,0.97,0.96
0.40,0.64,0.61,0.95,0.98,0.97
0.45,0.58,0.55,0.94,1.0,0.97
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 366.41 seconds
