,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.02,0.0,0.99,0.11,0.2
0.15,0.03,0.0,0.95,0.22,0.35
0.25,0.24,0.04,0.95,0.72,0.82
0.30,0.61,0.44,0.96,0.94,0.95
0.35,0.66,0.59,0.95,0.98,0.97
0.40,0.59,0.54,0.94,0.99,0.97
0.45,0.56,0.53,0.94,1.0,0.97
max
0.05,0.02,0.0,0.99,0.11,0.2
0.15,0.03,0.0,0.95,0.22,0.35
0.25,0.24,0.04,0.95,0.72,0.82
0.30,0.61,0.44,0.96,0.94,0.95
0.35,0.66,0.59,0.95,0.98,0.97
0.40,0.59,0.54,0.94,0.99,0.97
0.45,0.56,0.53,0.94,1.0,0.97
min
0.05,0.02,0.0,0.99,0.11,0.2
0.15,0.03,0.0,0.95,0.22,0.35
0.25,0.24,0.04,0.95,0.72,0.82
0.30,0.61,0.44,0.96,0.94,0.95
0.35,0.66,0.59,0.95,0.98,0.97
0.40,0.59,0.54,0.94,0.99,0.97
0.45,0.56,0.53,0.94,1.0,0.97
std
0.05,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 5163.49 seconds
