,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.34,0.34,0.95,0.8,0.87
0.10,0.47,0.42,0.94,0.9,0.92
0.15,0.51,0.4,0.93,0.95,0.94
0.20,0.39,0.34,0.92,0.97,0.94
0.25,0.3,0.28,0.91,0.98,0.94
0.30,0.22,0.22,0.9,0.98,0.94
0.35,0.16,0.16,0.89,0.99,0.94
0.45,0.05,0.09,0.88,0.99,0.93
max
0.05,0.34,0.34,0.95,0.8,0.87
0.10,0.47,0.42,0.94,0.9,0.92
0.15,0.51,0.4,0.93,0.95,0.94
0.20,0.39,0.34,0.92,0.97,0.94
0.25,0.3,0.28,0.91,0.98,0.94
0.30,0.22,0.22,0.9,0.98,0.94
0.35,0.16,0.16,0.89,0.99,0.94
0.45,0.05,0.09,0.88,0.99,0.93
min
0.05,0.34,0.34,0.95,0.8,0.87
0.10,0.47,0.42,0.94,0.9,0.92
0.15,0.51,0.4,0.93,0.95,0.94
0.20,0.39,0.34,0.92,0.97,0.94
0.25,0.3,0.28,0.91,0.98,0.94
0.30,0.22,0.22,0.9,0.98,0.94
0.35,0.16,0.16,0.89,0.99,0.94
0.45,0.05,0.09,0.88,0.99,0.93
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 44966.27 seconds
