,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.0,0.0,1.0,0.0,0.01
0.15,0.28,0.07,0.96,0.74,0.84
0.20,0.45,0.17,0.94,0.9,0.92
0.25,0.4,0.3,0.92,0.96,0.94
0.30,0.28,0.26,0.91,0.98,0.94
0.35,0.18,0.19,0.89,0.98,0.94
0.45,0.05,0.09,0.88,0.99,0.93
max
0.05,0.0,0.0,1.0,0.0,0.01
0.15,0.28,0.07,0.96,0.74,0.84
0.20,0.45,0.17,0.94,0.9,0.92
0.25,0.4,0.3,0.92,0.96,0.94
0.30,0.28,0.26,0.91,0.98,0.94
0.35,0.18,0.19,0.89,0.98,0.94
0.45,0.05,0.09,0.88,0.99,0.93
min
0.05,0.0,0.0,1.0,0.0,0.01
0.15,0.28,0.07,0.96,0.74,0.84
0.20,0.45,0.17,0.94,0.9,0.92
0.25,0.4,0.3,0.92,0.96,0.94
0.30,0.28,0.26,0.91,0.98,0.94
0.35,0.18,0.19,0.89,0.98,0.94
0.45,0.05,0.09,0.88,0.99,0.93
std
0.05,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 38450.60 seconds
