,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.24,0.13,0.96,0.66,0.78
0.10,0.31,0.22,0.96,0.76,0.85
0.15,0.43,0.42,0.96,0.85,0.91
0.20,0.57,0.55,0.96,0.92,0.94
0.25,0.71,0.64,0.96,0.96,0.96
0.30,0.65,0.61,0.95,0.98,0.97
0.35,0.59,0.55,0.94,0.99,0.97
0.40,0.56,0.52,0.94,1.0,0.97
0.45,0.54,0.51,0.94,1.0,0.97
max
0.05,0.24,0.13,0.96,0.66,0.78
0.10,0.31,0.22,0.96,0.76,0.85
0.15,0.43,0.42,0.96,0.85,0.91
0.20,0.57,0.55,0.96,0.92,0.94
0.25,0.71,0.64,0.96,0.96,0.96
0.30,0.65,0.61,0.95,0.98,0.97
0.35,0.59,0.55,0.94,0.99,0.97
0.40,0.56,0.52,0.94,1.0,0.97
0.45,0.54,0.51,0.94,1.0,0.97
min
0.05,0.24,0.13,0.96,0.66,0.78
0.10,0.31,0.22,0.96,0.76,0.85
0.15,0.43,0.42,0.96,0.85,0.91
0.20,0.57,0.55,0.96,0.92,0.94
0.25,0.71,0.64,0.96,0.96,0.96
0.30,0.65,0.61,0.95,0.98,0.97
0.35,0.59,0.55,0.94,0.99,0.97
0.40,0.56,0.52,0.94,1.0,0.97
0.45,0.54,0.51,0.94,1.0,0.97
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 479.68 seconds
