,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.0,0.0,1.0,0.0,0.0,18184.61
0.10,0.01,0.01,0.98,0.03,0.05,14533.51
0.15,0.14,0.11,0.95,0.27,0.42,10625.24
0.20,0.3,0.25,0.87,0.54,0.66,8415.31
0.25,0.44,0.32,0.79,0.72,0.75,6032.24
0.30,0.34,0.27,0.71,0.84,0.77,3213.82
0.35,0.2,0.17,0.65,0.89,0.75,1266.02
0.40,0.11,0.07,0.61,0.96,0.75,413.99
0.45,0.04,0.01,0.59,0.97,0.73,198.34
max
0.05,0.0,0.0,1.0,0.0,0.0,18184.61
0.10,0.01,0.01,0.98,0.03,0.05,14533.51
0.15,0.14,0.11,0.95,0.27,0.42,10625.24
0.20,0.3,0.25,0.87,0.54,0.66,8415.31
0.25,0.44,0.32,0.79,0.72,0.75,6032.24
0.30,0.34,0.27,0.71,0.84,0.77,3213.82
0.35,0.2,0.17,0.65,0.89,0.75,1266.02
0.40,0.11,0.07,0.61,0.96,0.75,413.99
0.45,0.04,0.01,0.59,0.97,0.73,198.34
min
0.05,0.0,0.0,1.0,0.0,0.0,18184.61
0.10,0.01,0.01,0.98,0.03,0.05,14533.51
0.15,0.14,0.11,0.95,0.27,0.42,10625.24
0.20,0.3,0.25,0.87,0.54,0.66,8415.31
0.25,0.44,0.32,0.79,0.72,0.75,6032.24
0.30,0.34,0.27,0.71,0.84,0.77,3213.82
0.35,0.2,0.17,0.65,0.89,0.75,1266.02
0.40,0.11,0.07,0.61,0.96,0.75,413.99
0.45,0.04,0.01,0.59,0.97,0.73,198.34
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 79846.98 seconds
