,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.22,0.04,0.61,0.74,0.67,831.81
0.10,0.2,0.03,0.61,0.82,0.7,618.77
0.15,0.19,0.02,0.62,0.88,0.73,491.03
0.20,0.15,0.02,0.61,0.92,0.74,454.35
0.25,0.12,0.01,0.61,0.95,0.74,364.16
0.30,0.08,0.01,0.6,0.96,0.74,374.35
0.35,0.06,0.01,0.59,0.97,0.73,293.09
0.40,0.03,0.0,0.58,0.97,0.73,222.17
0.45,0.02,0.0,0.58,0.98,0.73,170.99
max
0.05,0.22,0.04,0.61,0.74,0.67,831.81
0.10,0.2,0.03,0.61,0.82,0.7,618.77
0.15,0.19,0.02,0.62,0.88,0.73,491.03
0.20,0.15,0.02,0.61,0.92,0.74,454.35
0.25,0.12,0.01,0.61,0.95,0.74,364.16
0.30,0.08,0.01,0.6,0.96,0.74,374.35
0.35,0.06,0.01,0.59,0.97,0.73,293.09
0.40,0.03,0.0,0.58,0.97,0.73,222.17
0.45,0.02,0.0,0.58,0.98,0.73,170.99
min
0.05,0.22,0.04,0.61,0.74,0.67,831.81
0.10,0.2,0.03,0.61,0.82,0.7,618.77
0.15,0.19,0.02,0.62,0.88,0.73,491.03
0.20,0.15,0.02,0.61,0.92,0.74,454.35
0.25,0.12,0.01,0.61,0.95,0.74,364.16
0.30,0.08,0.01,0.6,0.96,0.74,374.35
0.35,0.06,0.01,0.59,0.97,0.73,293.09
0.40,0.03,0.0,0.58,0.97,0.73,222.17
0.45,0.02,0.0,0.58,0.98,0.73,170.99
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 83706.98 seconds
