,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.33,0.32,0.83,0.55,0.66,43.67
0.10,0.47,0.41,0.78,0.71,0.75,41.98
0.15,0.55,0.46,0.78,0.81,0.79,49.46
0.20,0.54,0.47,0.78,0.85,0.81,49.3
0.25,0.53,0.46,0.78,0.88,0.82,39.23
0.30,0.51,0.47,0.77,0.91,0.83,38.3
0.35,0.42,0.3,0.73,0.93,0.82,34.5
0.40,0.35,0.21,0.7,0.97,0.82,27.73
0.45,0.26,0.1,0.67,0.99,0.8,23.89
max
0.05,0.33,0.32,0.83,0.55,0.66,43.67
0.10,0.47,0.41,0.78,0.71,0.75,41.98
0.15,0.55,0.46,0.78,0.81,0.79,49.46
0.20,0.54,0.47,0.78,0.85,0.81,49.3
0.25,0.53,0.46,0.78,0.88,0.82,39.23
0.30,0.51,0.47,0.77,0.91,0.83,38.3
0.35,0.42,0.3,0.73,0.93,0.82,34.5
0.40,0.35,0.21,0.7,0.97,0.82,27.73
0.45,0.26,0.1,0.67,0.99,0.8,23.89
min
0.05,0.33,0.32,0.83,0.55,0.66,43.67
0.10,0.47,0.41,0.78,0.71,0.75,41.98
0.15,0.55,0.46,0.78,0.81,0.79,49.46
0.20,0.54,0.47,0.78,0.85,0.81,49.3
0.25,0.53,0.46,0.78,0.88,0.82,39.23
0.30,0.51,0.47,0.77,0.91,0.83,38.3
0.35,0.42,0.3,0.73,0.93,0.82,34.5
0.40,0.35,0.21,0.7,0.97,0.82,27.73
0.45,0.26,0.1,0.67,0.99,0.8,23.89
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 359.46 seconds
