,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.06,0.05,0.9,0.13,0.23,2254.21
0.10,0.06,0.05,0.9,0.13,0.23,2405.5
0.15,0.1,0.08,0.9,0.22,0.35,1485.65
0.20,0.2,0.17,0.87,0.4,0.55,1210.05
0.25,0.42,0.35,0.85,0.66,0.74,837.1
0.30,0.58,0.48,0.85,0.79,0.82,652.45
0.35,0.56,0.49,0.8,0.87,0.83,490.83
0.40,0.42,0.37,0.74,0.92,0.82,307.76
0.45,0.29,0.19,0.68,0.96,0.8,123.92
max
0.05,0.06,0.05,0.9,0.13,0.23,2254.21
0.10,0.06,0.05,0.9,0.13,0.23,2405.5
0.15,0.1,0.08,0.9,0.22,0.35,1485.65
0.20,0.2,0.17,0.87,0.4,0.55,1210.05
0.25,0.42,0.35,0.85,0.66,0.74,837.1
0.30,0.58,0.48,0.85,0.79,0.82,652.45
0.35,0.56,0.49,0.8,0.87,0.83,490.83
0.40,0.42,0.37,0.74,0.92,0.82,307.76
0.45,0.29,0.19,0.68,0.96,0.8,123.92
min
0.05,0.06,0.05,0.9,0.13,0.23,2254.21
0.10,0.06,0.05,0.9,0.13,0.23,2405.5
0.15,0.1,0.08,0.9,0.22,0.35,1485.65
0.20,0.2,0.17,0.87,0.4,0.55,1210.05
0.25,0.42,0.35,0.85,0.66,0.74,837.1
0.30,0.58,0.48,0.85,0.79,0.82,652.45
0.35,0.56,0.49,0.8,0.87,0.83,490.83
0.40,0.42,0.37,0.74,0.92,0.82,307.76
0.45,0.29,0.19,0.68,0.96,0.8,123.92
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 10135.78 seconds
