,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.34,0.1,0.67,0.81,0.74,104.83
0.10,0.31,0.08,0.66,0.8,0.72,116.34
0.15,0.3,0.07,0.66,0.86,0.75,95.02
0.20,0.27,0.05,0.66,0.9,0.76,78.74
0.25,0.25,0.04,0.65,0.94,0.77,62.17
0.30,0.24,0.04,0.65,0.97,0.78,56.62
0.35,0.22,0.03,0.65,0.98,0.78,44.87
0.40,0.2,0.03,0.64,0.99,0.78,44.52
0.45,0.18,0.03,0.64,0.99,0.78,35.5
max
0.05,0.34,0.1,0.67,0.81,0.74,104.83
0.10,0.31,0.08,0.66,0.8,0.72,116.34
0.15,0.3,0.07,0.66,0.86,0.75,95.02
0.20,0.27,0.05,0.66,0.9,0.76,78.74
0.25,0.25,0.04,0.65,0.94,0.77,62.17
0.30,0.24,0.04,0.65,0.97,0.78,56.62
0.35,0.22,0.03,0.65,0.98,0.78,44.87
0.40,0.2,0.03,0.64,0.99,0.78,44.52
0.45,0.18,0.03,0.64,0.99,0.78,35.5
min
0.05,0.34,0.1,0.67,0.81,0.74,104.83
0.10,0.31,0.08,0.66,0.8,0.72,116.34
0.15,0.3,0.07,0.66,0.86,0.75,95.02
0.20,0.27,0.05,0.66,0.9,0.76,78.74
0.25,0.25,0.04,0.65,0.94,0.77,62.17
0.30,0.24,0.04,0.65,0.97,0.78,56.62
0.35,0.22,0.03,0.65,0.98,0.78,44.87
0.40,0.2,0.03,0.64,0.99,0.78,44.52
0.45,0.18,0.03,0.64,0.99,0.78,35.5
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 10784.81 seconds
