,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.3,0.09,0.65,0.75,0.69
0.10,0.22,0.04,0.63,0.86,0.73
0.15,0.14,0.02,0.61,0.92,0.74
0.20,0.1,0.01,0.6,0.95,0.73
0.25,0.07,0.01,0.59,0.96,0.73
0.30,0.04,0.0,0.59,0.97,0.73
0.35,0.03,0.0,0.58,0.97,0.73
0.40,0.01,0.0,0.58,0.98,0.73
0.45,0.0,0.0,0.58,0.98,0.73
max
0.05,0.3,0.09,0.65,0.75,0.69
0.10,0.22,0.04,0.63,0.86,0.73
0.15,0.14,0.02,0.61,0.92,0.74
0.20,0.1,0.01,0.6,0.95,0.73
0.25,0.07,0.01,0.59,0.96,0.73
0.30,0.04,0.0,0.59,0.97,0.73
0.35,0.03,0.0,0.58,0.97,0.73
0.40,0.01,0.0,0.58,0.98,0.73
0.45,0.0,0.0,0.58,0.98,0.73
min
0.05,0.3,0.09,0.65,0.75,0.69
0.10,0.22,0.04,0.63,0.86,0.73
0.15,0.14,0.02,0.61,0.92,0.74
0.20,0.1,0.01,0.6,0.95,0.73
0.25,0.07,0.01,0.59,0.96,0.73
0.30,0.04,0.0,0.59,0.97,0.73
0.35,0.03,0.0,0.58,0.97,0.73
0.40,0.01,0.0,0.58,0.98,0.73
0.45,0.0,0.0,0.58,0.98,0.73
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 131382.83 seconds
