,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.0,0.0,1.0,0.0,0.01
0.10,0.11,0.09,0.91,0.24,0.38
0.15,0.32,0.22,0.77,0.62,0.69
0.20,0.25,0.15,0.66,0.84,0.74
0.25,0.12,0.03,0.61,0.94,0.74
0.30,0.07,0.02,0.6,0.96,0.74
0.35,0.04,0.01,0.59,0.97,0.73
0.40,0.02,0.0,0.58,0.98,0.73
0.45,0.0,0.0,0.58,0.98,0.73
max
0.05,0.0,0.0,1.0,0.0,0.01
0.10,0.11,0.09,0.91,0.24,0.38
0.15,0.32,0.22,0.77,0.62,0.69
0.20,0.25,0.15,0.66,0.84,0.74
0.25,0.12,0.03,0.61,0.94,0.74
0.30,0.07,0.02,0.6,0.96,0.74
0.35,0.04,0.01,0.59,0.97,0.73
0.40,0.02,0.0,0.58,0.98,0.73
0.45,0.0,0.0,0.58,0.98,0.73
min
0.05,0.0,0.0,1.0,0.0,0.01
0.10,0.11,0.09,0.91,0.24,0.38
0.15,0.32,0.22,0.77,0.62,0.69
0.20,0.25,0.15,0.66,0.84,0.74
0.25,0.12,0.03,0.61,0.94,0.74
0.30,0.07,0.02,0.6,0.96,0.74
0.35,0.04,0.01,0.59,0.97,0.73
0.40,0.02,0.0,0.58,0.98,0.73
0.45,0.0,0.0,0.58,0.98,0.73
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 75129.52 seconds
