,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.3,0.11,0.65,0.73,0.69
0.10,0.26,0.05,0.64,0.81,0.72
0.15,0.24,0.04,0.64,0.88,0.74
0.20,0.22,0.04,0.64,0.93,0.76
0.25,0.2,0.03,0.64,0.96,0.77
0.30,0.18,0.03,0.63,0.98,0.77
0.35,0.17,0.02,0.63,0.99,0.77
0.40,0.16,0.02,0.63,0.99,0.77
0.45,0.16,0.02,0.63,1.0,0.77
max
0.05,0.3,0.11,0.65,0.73,0.69
0.10,0.26,0.05,0.64,0.81,0.72
0.15,0.24,0.04,0.64,0.88,0.74
0.20,0.22,0.04,0.64,0.93,0.76
0.25,0.2,0.03,0.64,0.96,0.77
0.30,0.18,0.03,0.63,0.98,0.77
0.35,0.17,0.02,0.63,0.99,0.77
0.40,0.16,0.02,0.63,0.99,0.77
0.45,0.16,0.02,0.63,1.0,0.77
min
0.05,0.3,0.11,0.65,0.73,0.69
0.10,0.26,0.05,0.64,0.81,0.72
0.15,0.24,0.04,0.64,0.88,0.74
0.20,0.22,0.04,0.64,0.93,0.76
0.25,0.2,0.03,0.64,0.96,0.77
0.30,0.18,0.03,0.63,0.98,0.77
0.35,0.17,0.02,0.63,0.99,0.77
0.40,0.16,0.02,0.63,0.99,0.77
0.45,0.16,0.02,0.63,1.0,0.77
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 8819.52 seconds
