,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.24,0.04,0.63,0.83,0.72
0.10,0.22,0.04,0.63,0.84,0.72
0.15,0.23,0.04,0.64,0.9,0.75
0.20,0.21,0.03,0.64,0.93,0.76
0.25,0.19,0.03,0.63,0.96,0.76
0.30,0.18,0.03,0.63,0.98,0.77
0.35,0.17,0.02,0.63,0.99,0.77
0.40,0.16,0.02,0.63,0.99,0.77
0.45,0.16,0.02,0.63,1.0,0.77
max
0.05,0.24,0.04,0.63,0.83,0.72
0.10,0.22,0.04,0.63,0.84,0.72
0.15,0.23,0.04,0.64,0.9,0.75
0.20,0.21,0.03,0.64,0.93,0.76
0.25,0.19,0.03,0.63,0.96,0.76
0.30,0.18,0.03,0.63,0.98,0.77
0.35,0.17,0.02,0.63,0.99,0.77
0.40,0.16,0.02,0.63,0.99,0.77
0.45,0.16,0.02,0.63,1.0,0.77
min
0.05,0.24,0.04,0.63,0.83,0.72
0.10,0.22,0.04,0.63,0.84,0.72
0.15,0.23,0.04,0.64,0.9,0.75
0.20,0.21,0.03,0.64,0.93,0.76
0.25,0.19,0.03,0.63,0.96,0.76
0.30,0.18,0.03,0.63,0.98,0.77
0.35,0.17,0.02,0.63,0.99,0.77
0.40,0.16,0.02,0.63,0.99,0.77
0.45,0.16,0.02,0.63,1.0,0.77
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 7897.34 seconds
