,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.37,0.61,0.91,0.68,0.78,1377.41
0.10,0.49,0.54,0.88,0.81,0.84,875.47
0.15,0.47,0.26,0.84,0.9,0.87,631.36
0.20,0.4,0.17,0.83,0.95,0.88,456.58
0.25,0.34,0.09,0.82,0.97,0.88,327.85
0.30,0.3,0.07,0.81,0.97,0.88,254.88
0.35,0.28,0.07,0.8,0.98,0.88,199.77
0.40,0.28,0.07,0.8,0.98,0.88,224.27
0.45,0.27,0.07,0.8,0.99,0.88,180.11
max
0.05,0.37,0.61,0.91,0.68,0.78,1377.41
0.10,0.49,0.54,0.88,0.81,0.84,875.47
0.15,0.47,0.26,0.84,0.9,0.87,631.36
0.20,0.4,0.17,0.83,0.95,0.88,456.58
0.25,0.34,0.09,0.82,0.97,0.88,327.85
0.30,0.3,0.07,0.81,0.97,0.88,254.88
0.35,0.28,0.07,0.8,0.98,0.88,199.77
0.40,0.28,0.07,0.8,0.98,0.88,224.27
0.45,0.27,0.07,0.8,0.99,0.88,180.11
min
0.05,0.37,0.61,0.91,0.68,0.78,1377.41
0.10,0.49,0.54,0.88,0.81,0.84,875.47
0.15,0.47,0.26,0.84,0.9,0.87,631.36
0.20,0.4,0.17,0.83,0.95,0.88,456.58
0.25,0.34,0.09,0.82,0.97,0.88,327.85
0.30,0.3,0.07,0.81,0.97,0.88,254.88
0.35,0.28,0.07,0.8,0.98,0.88,199.77
0.40,0.28,0.07,0.8,0.98,0.88,224.27
0.45,0.27,0.07,0.8,0.99,0.88,180.11
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 6720.94 seconds
