,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.01,0.0,0.95,0.02,0.04,437.07
0.10,0.04,0.02,0.92,0.15,0.25,433.81
0.15,0.12,0.06,0.92,0.37,0.53,346.74
0.20,0.29,0.18,0.9,0.65,0.75,225.98
0.25,0.54,0.45,0.89,0.85,0.87,157.49
0.30,0.57,0.58,0.88,0.95,0.91,125.21
0.35,0.51,0.54,0.86,0.97,0.91,119.39
0.40,0.47,0.49,0.85,0.98,0.91,129.39
0.45,0.39,0.3,0.83,0.98,0.9,101.47
max
0.05,0.01,0.0,0.95,0.02,0.04,437.07
0.10,0.04,0.02,0.92,0.15,0.25,433.81
0.15,0.12,0.06,0.92,0.37,0.53,346.74
0.20,0.29,0.18,0.9,0.65,0.75,225.98
0.25,0.54,0.45,0.89,0.85,0.87,157.49
0.30,0.57,0.58,0.88,0.95,0.91,125.21
0.35,0.51,0.54,0.86,0.97,0.91,119.39
0.40,0.47,0.49,0.85,0.98,0.91,129.39
0.45,0.39,0.3,0.83,0.98,0.9,101.47
min
0.05,0.01,0.0,0.95,0.02,0.04,437.07
0.10,0.04,0.02,0.92,0.15,0.25,433.81
0.15,0.12,0.06,0.92,0.37,0.53,346.74
0.20,0.29,0.18,0.9,0.65,0.75,225.98
0.25,0.54,0.45,0.89,0.85,0.87,157.49
0.30,0.57,0.58,0.88,0.95,0.91,125.21
0.35,0.51,0.54,0.86,0.97,0.91,119.39
0.40,0.47,0.49,0.85,0.98,0.91,129.39
0.45,0.39,0.3,0.83,0.98,0.9,101.47
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 2154.63 seconds
