,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.38,0.28,0.84,0.74,0.79,236.28
0.10,0.45,0.3,0.85,0.81,0.83,209.99
0.15,0.49,0.24,0.84,0.85,0.85,168.45
0.20,0.44,0.16,0.83,0.9,0.87,152.08
0.25,0.4,0.14,0.83,0.94,0.88,113.5
0.30,0.35,0.1,0.82,0.97,0.89,75.25
0.35,0.33,0.09,0.82,0.98,0.89,79.14
0.40,0.32,0.09,0.81,0.99,0.89,73.11
0.45,0.3,0.08,0.81,1.0,0.89,54.77
max
0.05,0.38,0.28,0.84,0.74,0.79,236.28
0.10,0.45,0.3,0.85,0.81,0.83,209.99
0.15,0.49,0.24,0.84,0.85,0.85,168.45
0.20,0.44,0.16,0.83,0.9,0.87,152.08
0.25,0.4,0.14,0.83,0.94,0.88,113.5
0.30,0.35,0.1,0.82,0.97,0.89,75.25
0.35,0.33,0.09,0.82,0.98,0.89,79.14
0.40,0.32,0.09,0.81,0.99,0.89,73.11
0.45,0.3,0.08,0.81,1.0,0.89,54.77
min
0.05,0.38,0.28,0.84,0.74,0.79,236.28
0.10,0.45,0.3,0.85,0.81,0.83,209.99
0.15,0.49,0.24,0.84,0.85,0.85,168.45
0.20,0.44,0.16,0.83,0.9,0.87,152.08
0.25,0.4,0.14,0.83,0.94,0.88,113.5
0.30,0.35,0.1,0.82,0.97,0.89,75.25
0.35,0.33,0.09,0.82,0.98,0.89,79.14
0.40,0.32,0.09,0.81,0.99,0.89,73.11
0.45,0.3,0.08,0.81,1.0,0.89,54.77
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 1520.63 seconds
