,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.51,0.69,0.91,0.8,0.85,718.56
0.10,0.47,0.22,0.84,0.9,0.87,452.66
0.15,0.37,0.1,0.82,0.94,0.88,341.78
0.20,0.32,0.08,0.81,0.96,0.88,255.71
0.25,0.3,0.07,0.81,0.97,0.88,244.72
0.30,0.28,0.07,0.8,0.98,0.88,193.38
0.35,0.28,0.07,0.8,0.99,0.89,214.75
0.40,0.27,0.07,0.8,0.99,0.89,176.7
0.45,0.26,0.07,0.8,0.99,0.88,196.62
max
0.05,0.51,0.69,0.91,0.8,0.85,718.56
0.10,0.47,0.22,0.84,0.9,0.87,452.66
0.15,0.37,0.1,0.82,0.94,0.88,341.78
0.20,0.32,0.08,0.81,0.96,0.88,255.71
0.25,0.3,0.07,0.81,0.97,0.88,244.72
0.30,0.28,0.07,0.8,0.98,0.88,193.38
0.35,0.28,0.07,0.8,0.99,0.89,214.75
0.40,0.27,0.07,0.8,0.99,0.89,176.7
0.45,0.26,0.07,0.8,0.99,0.88,196.62
min
0.05,0.51,0.69,0.91,0.8,0.85,718.56
0.10,0.47,0.22,0.84,0.9,0.87,452.66
0.15,0.37,0.1,0.82,0.94,0.88,341.78
0.20,0.32,0.08,0.81,0.96,0.88,255.71
0.25,0.3,0.07,0.81,0.97,0.88,244.72
0.30,0.28,0.07,0.8,0.98,0.88,193.38
0.35,0.28,0.07,0.8,0.99,0.89,214.75
0.40,0.27,0.07,0.8,0.99,0.89,176.7
0.45,0.26,0.07,0.8,0.99,0.88,196.62
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 4482.30 seconds
