,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.02,0.01,0.97,0.07,0.14,380.05
0.10,0.17,0.08,0.94,0.44,0.6,303.2
0.15,0.47,0.34,0.91,0.79,0.85,165.76
0.20,0.63,0.53,0.89,0.91,0.9,170.08
0.25,0.56,0.55,0.87,0.96,0.91,142.38
0.30,0.5,0.5,0.86,0.97,0.91,110.6
0.35,0.42,0.36,0.84,0.98,0.9,94.23
0.40,0.33,0.15,0.82,0.98,0.89,99.2
0.45,0.27,0.07,0.8,0.99,0.89,99.08
max
0.05,0.02,0.01,0.97,0.07,0.14,380.05
0.10,0.17,0.08,0.94,0.44,0.6,303.2
0.15,0.47,0.34,0.91,0.79,0.85,165.76
0.20,0.63,0.53,0.89,0.91,0.9,170.08
0.25,0.56,0.55,0.87,0.96,0.91,142.38
0.30,0.5,0.5,0.86,0.97,0.91,110.6
0.35,0.42,0.36,0.84,0.98,0.9,94.23
0.40,0.33,0.15,0.82,0.98,0.89,99.2
0.45,0.27,0.07,0.8,0.99,0.89,99.08
min
0.05,0.02,0.01,0.97,0.07,0.14,380.05
0.10,0.17,0.08,0.94,0.44,0.6,303.2
0.15,0.47,0.34,0.91,0.79,0.85,165.76
0.20,0.63,0.53,0.89,0.91,0.9,170.08
0.25,0.56,0.55,0.87,0.96,0.91,142.38
0.30,0.5,0.5,0.86,0.97,0.91,110.6
0.35,0.42,0.36,0.84,0.98,0.9,94.23
0.40,0.33,0.15,0.82,0.98,0.89,99.2
0.45,0.27,0.07,0.8,0.99,0.89,99.08
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 1636.13 seconds
