,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.39,0.2,0.83,0.77,0.8,200.24
0.10,0.44,0.14,0.83,0.84,0.83,167.52
0.15,0.42,0.13,0.83,0.89,0.86,121.88
0.20,0.39,0.12,0.82,0.94,0.88,100.3
0.25,0.35,0.1,0.82,0.98,0.89,83.1
0.30,0.33,0.09,0.82,0.99,0.89,73.9
0.35,0.31,0.08,0.81,0.99,0.89,66.16
0.40,0.3,0.08,0.81,0.99,0.89,63.87
0.45,0.29,0.08,0.81,1.0,0.89,52.64
max
0.05,0.39,0.2,0.83,0.77,0.8,200.24
0.10,0.44,0.14,0.83,0.84,0.83,167.52
0.15,0.42,0.13,0.83,0.89,0.86,121.88
0.20,0.39,0.12,0.82,0.94,0.88,100.3
0.25,0.35,0.1,0.82,0.98,0.89,83.1
0.30,0.33,0.09,0.82,0.99,0.89,73.9
0.35,0.31,0.08,0.81,0.99,0.89,66.16
0.40,0.3,0.08,0.81,0.99,0.89,63.87
0.45,0.29,0.08,0.81,1.0,0.89,52.64
min
0.05,0.39,0.2,0.83,0.77,0.8,200.24
0.10,0.44,0.14,0.83,0.84,0.83,167.52
0.15,0.42,0.13,0.83,0.89,0.86,121.88
0.20,0.39,0.12,0.82,0.94,0.88,100.3
0.25,0.35,0.1,0.82,0.98,0.89,83.1
0.30,0.33,0.09,0.82,0.99,0.89,73.9
0.35,0.31,0.08,0.81,0.99,0.89,66.16
0.40,0.3,0.08,0.81,0.99,0.89,63.87
0.45,0.29,0.08,0.81,1.0,0.89,52.64
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 1273.38 seconds
