,AMI,ARI,Completeness,Homogeneity,V-measure,time
mean
0.05,0.28,0.24,0.89,0.59,0.71,39.98
0.10,0.42,0.42,0.87,0.76,0.81,38.06
0.15,0.53,0.36,0.86,0.85,0.85,42.73
0.20,0.47,0.24,0.85,0.92,0.88,39.07
0.25,0.37,0.11,0.82,0.96,0.88,32.1
0.30,0.34,0.09,0.82,0.98,0.89,29.08
0.35,0.32,0.09,0.81,0.99,0.89,27.87
0.40,0.3,0.08,0.81,0.99,0.89,26.66
0.45,0.29,0.08,0.81,1.0,0.89,25.36
max
0.05,0.28,0.24,0.89,0.59,0.71,39.98
0.10,0.42,0.42,0.87,0.76,0.81,38.06
0.15,0.53,0.36,0.86,0.85,0.85,42.73
0.20,0.47,0.24,0.85,0.92,0.88,39.07
0.25,0.37,0.11,0.82,0.96,0.88,32.1
0.30,0.34,0.09,0.82,0.98,0.89,29.08
0.35,0.32,0.09,0.81,0.99,0.89,27.87
0.40,0.3,0.08,0.81,0.99,0.89,26.66
0.45,0.29,0.08,0.81,1.0,0.89,25.36
min
0.05,0.28,0.24,0.89,0.59,0.71,39.98
0.10,0.42,0.42,0.87,0.76,0.81,38.06
0.15,0.53,0.36,0.86,0.85,0.85,42.73
0.20,0.47,0.24,0.85,0.92,0.88,39.07
0.25,0.37,0.11,0.82,0.96,0.88,32.1
0.30,0.34,0.09,0.82,0.98,0.89,29.08
0.35,0.32,0.09,0.81,0.99,0.89,27.87
0.40,0.3,0.08,0.81,0.99,0.89,26.66
0.45,0.29,0.08,0.81,1.0,0.89,25.36
std
0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0
test finished in 322.86 seconds
