,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.0,0.0,0.98,0.01,0.02
0.15,0.06,0.0,0.94,0.37,0.53
0.25,0.32,0.1,0.93,0.84,0.88
0.30,0.38,0.18,0.91,0.93,0.92
0.35,0.24,0.2,0.9,0.96,0.93
0.40,0.16,0.17,0.89,0.97,0.93
max
0.05,0.0,0.0,0.98,0.01,0.02
0.15,0.06,0.0,0.94,0.37,0.53
0.25,0.32,0.1,0.93,0.84,0.88
0.30,0.38,0.18,0.91,0.93,0.92
0.35,0.24,0.2,0.9,0.96,0.93
0.40,0.16,0.17,0.89,0.97,0.93
min
0.05,0.0,0.0,0.98,0.01,0.02
0.15,0.06,0.0,0.94,0.37,0.53
0.25,0.32,0.1,0.93,0.84,0.88
0.30,0.38,0.18,0.91,0.93,0.92
0.35,0.24,0.2,0.9,0.96,0.93
0.40,0.16,0.17,0.89,0.97,0.93
std
0.05,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
test finished in 19594.75 seconds
