,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.27,0.23,0.92,0.79,0.85
0.10,0.34,0.29,0.93,0.85,0.89
0.15,0.42,0.3,0.92,0.91,0.91
0.20,0.39,0.27,0.91,0.94,0.93
0.25,0.31,0.25,0.91,0.97,0.94
0.30,0.23,0.2,0.9,0.98,0.94
0.35,0.16,0.15,0.89,0.98,0.93
0.45,0.06,0.09,0.88,0.99,0.93
max
0.05,0.27,0.23,0.92,0.79,0.85
0.10,0.34,0.29,0.93,0.85,0.89
0.15,0.42,0.3,0.92,0.91,0.91
0.20,0.39,0.27,0.91,0.94,0.93
0.25,0.31,0.25,0.91,0.97,0.94
0.30,0.23,0.2,0.9,0.98,0.94
0.35,0.16,0.15,0.89,0.98,0.93
0.45,0.06,0.09,0.88,0.99,0.93
min
0.05,0.27,0.23,0.92,0.79,0.85
0.10,0.34,0.29,0.93,0.85,0.89
0.15,0.42,0.3,0.92,0.91,0.91
0.20,0.39,0.27,0.91,0.94,0.93
0.25,0.31,0.25,0.91,0.97,0.94
0.30,0.23,0.2,0.9,0.98,0.94
0.35,0.16,0.15,0.89,0.98,0.93
0.45,0.06,0.09,0.88,0.99,0.93
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 70389.49 seconds
