,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.38,0.4,0.96,0.83,0.89
0.10,0.38,0.38,0.95,0.83,0.89
0.15,0.47,0.49,0.96,0.88,0.92
0.20,0.58,0.57,0.96,0.93,0.94
0.25,0.67,0.56,0.95,0.95,0.95
0.30,0.63,0.53,0.95,0.97,0.96
0.35,0.59,0.54,0.94,0.99,0.97
0.40,0.57,0.53,0.94,0.99,0.97
0.45,0.55,0.52,0.94,1.0,0.97
max
0.05,0.38,0.4,0.96,0.83,0.89
0.10,0.38,0.38,0.95,0.83,0.89
0.15,0.47,0.49,0.96,0.88,0.92
0.20,0.58,0.57,0.96,0.93,0.94
0.25,0.67,0.56,0.95,0.95,0.95
0.30,0.63,0.53,0.95,0.97,0.96
0.35,0.59,0.54,0.94,0.99,0.97
0.40,0.57,0.53,0.94,0.99,0.97
0.45,0.55,0.52,0.94,1.0,0.97
min
0.05,0.38,0.4,0.96,0.83,0.89
0.10,0.38,0.38,0.95,0.83,0.89
0.15,0.47,0.49,0.96,0.88,0.92
0.20,0.58,0.57,0.96,0.93,0.94
0.25,0.67,0.56,0.95,0.95,0.95
0.30,0.63,0.53,0.95,0.97,0.96
0.35,0.59,0.54,0.94,0.99,0.97
0.40,0.57,0.53,0.94,0.99,0.97
0.45,0.55,0.52,0.94,1.0,0.97
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 5914.24 seconds
