,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.56,0.19,0.88,0.57,0.69
0.10,0.84,0.82,0.85,0.88,0.87
0.15,0.78,0.78,0.8,0.89,0.84
0.20,0.65,0.68,0.71,0.93,0.8
0.25,0.58,0.6,0.65,0.96,0.78
0.30,0.47,0.45,0.59,0.97,0.73
0.35,0.41,0.36,0.56,0.98,0.71
0.40,0.36,0.27,0.53,0.99,0.69
0.45,0.33,0.23,0.52,0.99,0.68
max
0.05,0.56,0.19,0.88,0.57,0.69
0.10,0.84,0.82,0.85,0.88,0.87
0.15,0.78,0.78,0.8,0.89,0.84
0.20,0.65,0.68,0.71,0.93,0.8
0.25,0.58,0.6,0.65,0.96,0.78
0.30,0.47,0.45,0.59,0.97,0.73
0.35,0.41,0.36,0.56,0.98,0.71
0.40,0.36,0.27,0.53,0.99,0.69
0.45,0.33,0.23,0.52,0.99,0.68
min
0.05,0.56,0.19,0.88,0.57,0.69
0.10,0.84,0.82,0.85,0.88,0.87
0.15,0.78,0.78,0.8,0.89,0.84
0.20,0.65,0.68,0.71,0.93,0.8
0.25,0.58,0.6,0.65,0.96,0.78
0.30,0.47,0.45,0.59,0.97,0.73
0.35,0.41,0.36,0.56,0.98,0.71
0.40,0.36,0.27,0.53,0.99,0.69
0.45,0.33,0.23,0.52,0.99,0.68
std
0.05,0.0,0.0,0.0,0.0,0.0
0.10,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
0.20,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 4767.92 seconds
