,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.05,0.0,0.97,0.28,0.43
0.70,0.27,0.04,0.96,0.76,0.84
0.75,0.64,0.55,0.95,0.98,0.96
0.80,0.61,0.62,0.95,1.0,0.97
0.85,0.56,0.54,0.94,1.0,0.97
0.90,0.52,0.51,0.94,1.0,0.97
max
0.60,0.05,0.0,0.97,0.28,0.43
0.70,0.27,0.04,0.96,0.76,0.84
0.75,0.64,0.55,0.95,0.98,0.96
0.80,0.61,0.62,0.95,1.0,0.97
0.85,0.56,0.54,0.94,1.0,0.97
0.90,0.52,0.51,0.94,1.0,0.97
min
0.60,0.05,0.0,0.97,0.28,0.43
0.70,0.27,0.04,0.96,0.76,0.84
0.75,0.64,0.55,0.95,0.98,0.96
0.80,0.61,0.62,0.95,1.0,0.97
0.85,0.56,0.54,0.94,1.0,0.97
0.90,0.52,0.51,0.94,1.0,0.97
std
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 292.00 seconds
