,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.04,0.0,0.98,0.22,0.37
0.70,0.68,0.52,0.96,0.95,0.95
0.75,0.64,0.62,0.95,0.99,0.97
0.80,0.6,0.61,0.95,1.0,0.97
0.85,0.54,0.52,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
max
0.60,0.04,0.0,0.98,0.22,0.37
0.70,0.68,0.52,0.96,0.95,0.95
0.75,0.64,0.62,0.95,0.99,0.97
0.80,0.6,0.61,0.95,1.0,0.97
0.85,0.54,0.52,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
min
0.60,0.04,0.0,0.98,0.22,0.37
0.70,0.68,0.52,0.96,0.95,0.95
0.75,0.64,0.62,0.95,0.99,0.97
0.80,0.6,0.61,0.95,1.0,0.97
0.85,0.54,0.52,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
std
0.60,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 458.16 seconds
