,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.51,0.5,0.96,0.89,0.93
0.65,0.64,0.57,0.96,0.94,0.95
0.70,0.66,0.59,0.95,0.98,0.96
0.75,0.61,0.59,0.95,0.99,0.97
0.80,0.57,0.54,0.94,1.0,0.97
0.85,0.54,0.52,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
max
0.60,0.51,0.5,0.96,0.89,0.93
0.65,0.64,0.57,0.96,0.94,0.95
0.70,0.66,0.59,0.95,0.98,0.96
0.75,0.61,0.59,0.95,0.99,0.97
0.80,0.57,0.54,0.94,1.0,0.97
0.85,0.54,0.52,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
min
0.60,0.51,0.5,0.96,0.89,0.93
0.65,0.64,0.57,0.96,0.94,0.95
0.70,0.66,0.59,0.95,0.98,0.96
0.75,0.61,0.59,0.95,0.99,0.97
0.80,0.57,0.54,0.94,1.0,0.97
0.85,0.54,0.52,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 2606.88 seconds
