,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.5,0.5,0.96,0.89,0.92
0.65,0.63,0.57,0.96,0.94,0.95
0.70,0.66,0.58,0.95,0.98,0.96
0.75,0.61,0.59,0.95,0.99,0.97
0.80,0.59,0.58,0.94,1.0,0.97
0.85,0.53,0.51,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
max
0.60,0.5,0.5,0.96,0.89,0.92
0.65,0.63,0.57,0.96,0.94,0.95
0.70,0.66,0.58,0.95,0.98,0.96
0.75,0.61,0.59,0.95,0.99,0.97
0.80,0.59,0.58,0.94,1.0,0.97
0.85,0.53,0.51,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
min
0.60,0.5,0.5,0.96,0.89,0.92
0.65,0.63,0.57,0.96,0.94,0.95
0.70,0.66,0.58,0.95,0.98,0.96
0.75,0.61,0.59,0.95,0.99,0.97
0.80,0.59,0.58,0.94,1.0,0.97
0.85,0.53,0.51,0.94,1.0,0.97
0.90,0.51,0.5,0.94,1.0,0.97
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,0.0,0.0
0.70,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
test finished in 600.84 seconds
