,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.13,0.03,0.56,0.17,0.26
0.55,0.35,0.11,0.64,0.43,0.51
0.60,0.51,0.24,0.64,0.62,0.63
0.65,0.46,0.33,0.62,0.76,0.68
0.70,0.36,0.3,0.6,0.87,0.71
0.75,0.23,0.17,0.56,0.95,0.71
0.80,0.12,0.08,0.54,0.98,0.69
max
0.50,0.17,0.05,0.64,0.21,0.32
0.55,0.39,0.13,0.69,0.46,0.55
0.60,0.55,0.29,0.66,0.66,0.66
0.65,0.48,0.35,0.63,0.76,0.69
0.70,0.38,0.32,0.61,0.89,0.72
0.75,0.25,0.2,0.57,0.95,0.71
0.80,0.14,0.1,0.55,0.98,0.7
min
0.50,0.09,0.01,0.51,0.13,0.2
0.55,0.3,0.09,0.58,0.38,0.46
0.60,0.47,0.19,0.61,0.59,0.61
0.65,0.43,0.3,0.6,0.75,0.67
0.70,0.34,0.27,0.59,0.86,0.7
0.75,0.21,0.15,0.55,0.94,0.7
0.80,0.1,0.06,0.53,0.98,0.69
std
0.50,0.03,0.01,0.05,0.03,0.05
0.55,0.03,0.01,0.04,0.03,0.03
0.60,0.03,0.04,0.02,0.02,0.02
0.65,0.02,0.02,0.01,0.0,0.01
0.70,0.01,0.02,0.01,0.01,0.01
0.75,0.01,0.02,0.01,0.0,0.0
0.80,0.01,0.02,0.01,0.0,0.0
test finished in 8812.77 seconds
