,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.07,0.01,0.49,0.32,0.38
0.80,0.22,0.1,0.55,0.75,0.63
0.85,0.1,0.08,0.53,0.99,0.69
0.90,0.02,0.01,0.51,0.99,0.67
0.95,0.0,0.0,0.5,1.0,0.67
1.00,0.0,0.0,0.5,1.0,0.67
max
0.75,0.07,0.01,0.49,0.32,0.38
0.80,0.23,0.14,0.55,0.81,0.66
0.85,0.1,0.09,0.53,0.99,0.69
0.90,0.02,0.01,0.51,1.0,0.67
0.95,0.0,0.0,0.51,1.0,0.67
1.00,0.0,0.0,0.5,1.0,0.67
min
0.75,0.06,0.01,0.48,0.31,0.38
0.80,0.21,0.07,0.54,0.68,0.6
0.85,0.09,0.07,0.52,0.98,0.68
0.90,0.02,0.01,0.5,0.99,0.67
0.95,0.0,0.0,0.5,1.0,0.67
1.00,0.0,0.0,0.5,1.0,0.67
std
0.75,0.0,0.0,0.0,0.0,0.0
0.80,0.01,0.03,0.0,0.05,0.02
0.85,0.0,0.01,0.0,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.0
1.00,0.0,0.0,0.0,0.0,0.0
test finished in 450.69 seconds
