,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.19,0.08,0.43,0.23,0.3
0.35,0.26,0.11,0.49,0.33,0.4
0.40,0.36,0.17,0.53,0.46,0.49
0.45,0.4,0.22,0.54,0.55,0.55
0.50,0.4,0.25,0.56,0.64,0.6
0.55,0.38,0.25,0.56,0.7,0.63
0.60,0.36,0.24,0.57,0.76,0.65
0.65,0.33,0.22,0.57,0.83,0.68
0.70,0.27,0.17,0.56,0.89,0.69
max
0.30,0.2,0.1,0.45,0.25,0.32
0.35,0.27,0.12,0.51,0.34,0.41
0.40,0.38,0.21,0.55,0.48,0.51
0.45,0.42,0.24,0.55,0.58,0.56
0.50,0.41,0.25,0.56,0.65,0.6
0.55,0.4,0.27,0.57,0.72,0.64
0.60,0.36,0.26,0.58,0.76,0.66
0.65,0.34,0.24,0.58,0.84,0.69
0.70,0.28,0.19,0.57,0.9,0.7
min
0.30,0.18,0.07,0.41,0.21,0.28
0.35,0.26,0.09,0.47,0.32,0.38
0.40,0.32,0.15,0.51,0.43,0.47
0.45,0.37,0.18,0.53,0.52,0.53
0.50,0.38,0.25,0.55,0.63,0.59
0.55,0.37,0.23,0.55,0.69,0.62
0.60,0.35,0.23,0.56,0.75,0.64
0.65,0.32,0.21,0.56,0.83,0.67
0.70,0.26,0.15,0.55,0.88,0.68
std
0.30,0.01,0.01,0.02,0.02,0.02
0.35,0.0,0.01,0.02,0.01,0.01
0.40,0.03,0.03,0.02,0.02,0.02
0.45,0.02,0.03,0.01,0.02,0.01
0.50,0.01,0.0,0.0,0.01,0.0
0.55,0.01,0.02,0.01,0.01,0.01
0.60,0.0,0.01,0.01,0.0,0.01
0.65,0.01,0.01,0.01,0.0,0.01
0.70,0.01,0.02,0.01,0.01,0.01
test finished in 1955.19 seconds
