,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.09,0.02,0.5,0.12,0.19
0.55,0.33,0.12,0.61,0.4,0.48
0.60,0.5,0.32,0.61,0.62,0.62
0.65,0.44,0.38,0.61,0.77,0.68
0.70,0.34,0.28,0.59,0.88,0.7
0.75,0.23,0.18,0.56,0.95,0.71
max
0.50,0.16,0.05,0.57,0.18,0.28
0.55,0.38,0.18,0.63,0.45,0.52
0.60,0.52,0.39,0.63,0.67,0.65
0.65,0.47,0.43,0.62,0.8,0.7
0.70,0.37,0.33,0.6,0.9,0.72
0.75,0.26,0.21,0.57,0.96,0.72
min
0.50,0.03,0.0,0.42,0.06,0.1
0.55,0.27,0.07,0.58,0.36,0.44
0.60,0.47,0.26,0.6,0.59,0.6
0.65,0.42,0.34,0.59,0.75,0.66
0.70,0.31,0.24,0.58,0.85,0.69
0.75,0.21,0.14,0.55,0.94,0.7
std
0.50,0.04,0.02,0.05,0.04,0.06
0.55,0.03,0.04,0.02,0.03,0.03
0.60,0.02,0.05,0.01,0.03,0.02
0.65,0.02,0.04,0.01,0.02,0.01
0.70,0.02,0.03,0.01,0.02,0.01
0.75,0.02,0.02,0.01,0.01,0.01
test finished in 1255.69 seconds
