,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.24,0.13,0.36,0.27,0.31
0.35,0.32,0.16,0.38,0.36,0.37
0.40,0.33,0.18,0.39,0.45,0.42
0.45,0.31,0.18,0.4,0.52,0.46
0.50,0.3,0.16,0.41,0.6,0.49
0.55,0.27,0.13,0.42,0.68,0.52
0.60,0.25,0.1,0.43,0.76,0.55
0.65,0.22,0.07,0.44,0.83,0.58
0.70,0.18,0.04,0.44,0.9,0.6
0.75,0.14,0.03,0.44,0.95,0.6
0.80,0.08,0.01,0.43,0.98,0.6
max
0.30,0.28,0.2,0.39,0.32,0.35
0.35,0.35,0.22,0.41,0.39,0.4
0.40,0.36,0.24,0.42,0.47,0.45
0.45,0.34,0.25,0.43,0.55,0.48
0.50,0.33,0.22,0.43,0.62,0.51
0.55,0.3,0.18,0.44,0.7,0.54
0.60,0.27,0.12,0.45,0.77,0.57
0.65,0.24,0.09,0.46,0.85,0.59
0.70,0.2,0.06,0.46,0.91,0.61
0.75,0.15,0.03,0.46,0.96,0.62
0.80,0.09,0.02,0.45,0.98,0.62
min
0.30,0.21,0.07,0.33,0.24,0.27
0.35,0.28,0.1,0.35,0.33,0.34
0.40,0.3,0.13,0.37,0.41,0.39
0.45,0.28,0.13,0.38,0.49,0.43
0.50,0.27,0.13,0.39,0.57,0.47
0.55,0.25,0.1,0.4,0.65,0.5
0.60,0.23,0.08,0.41,0.74,0.53
0.65,0.21,0.05,0.42,0.82,0.56
0.70,0.17,0.03,0.43,0.89,0.58
0.75,0.12,0.02,0.43,0.94,0.59
0.80,0.07,0.01,0.42,0.97,0.59
std
0.30,0.02,0.03,0.02,0.02,0.02
0.35,0.02,0.03,0.02,0.02,0.02
0.40,0.02,0.03,0.01,0.02,0.01
0.45,0.01,0.03,0.01,0.02,0.01
0.50,0.01,0.02,0.01,0.01,0.01
0.55,0.01,0.02,0.01,0.01,0.01
0.60,0.01,0.01,0.01,0.01,0.01
0.65,0.01,0.01,0.01,0.01,0.01
0.70,0.01,0.01,0.01,0.01,0.01
0.75,0.01,0.0,0.01,0.0,0.01
0.80,0.01,0.0,0.01,0.0,0.01
test finished in 64973.70 seconds
