,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.08,0.03,0.6,0.18,0.28
0.55,0.2,0.08,0.65,0.43,0.51
0.60,0.33,0.18,0.69,0.65,0.67
0.65,0.33,0.29,0.71,0.83,0.77
0.70,0.23,0.24,0.7,0.94,0.81
0.75,0.11,0.12,0.68,0.98,0.81
0.80,0.04,0.04,0.67,0.99,0.8
max
0.50,0.16,0.06,0.67,0.28,0.39
0.55,0.29,0.14,0.71,0.55,0.62
0.60,0.36,0.23,0.72,0.7,0.7
0.65,0.4,0.36,0.75,0.86,0.8
0.70,0.27,0.3,0.73,0.96,0.83
0.75,0.14,0.16,0.7,0.99,0.82
0.80,0.06,0.05,0.67,1.0,0.8
min
0.50,0.03,0.01,0.58,0.11,0.18
0.55,0.14,0.05,0.62,0.35,0.45
0.60,0.27,0.14,0.67,0.61,0.65
0.65,0.27,0.19,0.69,0.8,0.74
0.70,0.17,0.15,0.68,0.92,0.78
0.75,0.07,0.07,0.67,0.98,0.8
0.80,0.03,0.03,0.66,0.99,0.79
std
0.50,0.04,0.02,0.03,0.06,0.07
0.55,0.05,0.03,0.03,0.07,0.06
0.60,0.03,0.03,0.02,0.04,0.02
0.65,0.05,0.06,0.02,0.02,0.02
0.70,0.04,0.05,0.02,0.02,0.02
0.75,0.02,0.03,0.01,0.0,0.01
0.80,0.01,0.01,0.0,0.0,0.0
test finished in 278.63 seconds
