,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.29,0.14,0.71,0.68,0.69
0.75,0.2,0.23,0.7,0.97,0.81
0.80,0.07,0.07,0.67,0.99,0.8
0.85,0.02,0.02,0.66,1.0,0.79
0.90,0.0,0.0,0.65,1.0,0.79
0.95,0.0,0.0,0.65,1.0,0.79
max
0.70,0.42,0.36,0.76,0.87,0.81
0.75,0.26,0.34,0.71,0.98,0.82
0.80,0.09,0.11,0.68,1.0,0.8
0.85,0.04,0.04,0.67,1.0,0.8
0.90,0.01,0.01,0.66,1.0,0.8
0.95,0.0,0.0,0.66,1.0,0.8
min
0.70,0.13,0.02,0.65,0.55,0.6
0.75,0.1,0.1,0.68,0.96,0.79
0.80,0.05,0.05,0.66,0.98,0.79
0.85,0.01,0.01,0.65,0.99,0.79
0.90,0.0,0.0,0.65,1.0,0.78
0.95,0.0,0.0,0.65,1.0,0.79
std
0.70,0.11,0.12,0.04,0.12,0.08
0.75,0.05,0.08,0.01,0.01,0.01
0.80,0.01,0.02,0.01,0.01,0.0
0.85,0.01,0.01,0.01,0.0,0.0
0.90,0.0,0.0,0.0,0.0,0.01
0.95,0.0,0.0,0.0,0.0,0.0
test finished in 283.91 seconds
