,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.01,0.0,0.46,0.11,0.17
0.75,0.24,0.05,0.54,0.53,0.54
0.80,0.2,0.2,0.56,0.97,0.71
0.85,0.06,0.05,0.52,0.99,0.68
0.90,0.01,0.0,0.5,1.0,0.67
0.95,0.0,0.0,0.5,1.0,0.67
max
0.70,0.02,0.0,0.48,0.12,0.19
0.75,0.26,0.05,0.55,0.55,0.55
0.80,0.23,0.24,0.57,0.98,0.72
0.85,0.08,0.07,0.52,0.99,0.69
0.90,0.02,0.01,0.51,1.0,0.67
0.95,0.0,0.0,0.5,1.0,0.67
min
0.70,0.0,0.0,0.44,0.1,0.16
0.75,0.22,0.05,0.54,0.52,0.53
0.80,0.19,0.18,0.55,0.96,0.7
0.85,0.05,0.03,0.51,0.99,0.67
0.90,0.01,0.0,0.5,1.0,0.67
0.95,0.0,0.0,0.5,1.0,0.67
std
0.70,0.01,0.0,0.02,0.01,0.01
0.75,0.02,0.0,0.0,0.01,0.01
0.80,0.02,0.03,0.01,0.01,0.01
0.85,0.01,0.02,0.0,0.0,0.01
0.90,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.0
test finished in 299.52 seconds
