,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.33,0.17,0.46,0.44,0.45
0.45,0.34,0.21,0.49,0.54,0.51
0.50,0.33,0.21,0.51,0.62,0.56
0.55,0.3,0.2,0.52,0.69,0.59
0.60,0.28,0.18,0.53,0.78,0.63
max
0.40,0.36,0.19,0.49,0.47,0.48
0.45,0.37,0.25,0.51,0.56,0.53
0.50,0.35,0.24,0.52,0.64,0.57
0.55,0.32,0.23,0.54,0.71,0.61
0.60,0.31,0.21,0.55,0.8,0.65
min
0.40,0.3,0.15,0.43,0.41,0.42
0.45,0.32,0.18,0.48,0.52,0.5
0.50,0.31,0.19,0.49,0.6,0.54
0.55,0.27,0.16,0.5,0.67,0.57
0.60,0.26,0.14,0.51,0.76,0.61
std
0.40,0.02,0.02,0.02,0.03,0.02
0.45,0.02,0.02,0.01,0.01,0.01
0.50,0.01,0.02,0.01,0.01,0.01
0.55,0.02,0.02,0.02,0.02,0.02
0.60,0.02,0.03,0.01,0.01,0.02
test finished in 472.65 seconds
