,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.65,0.45,0.38,0.62,0.79,0.7
centroid-0.65,0.45,0.39,0.62,0.8,0.7
complete-0.8,0.24,0.25,0.57,0.96,0.71
single-0.5,0.42,0.28,0.57,0.68,0.62
max
average-0.65,0.48,0.43,0.64,0.82,0.71
centroid-0.65,0.48,0.43,0.64,0.82,0.71
complete-0.8,0.26,0.3,0.58,0.97,0.72
single-0.5,0.45,0.3,0.59,0.71,0.64
min
average-0.65,0.43,0.34,0.6,0.77,0.68
centroid-0.65,0.43,0.34,0.6,0.77,0.68
complete-0.8,0.21,0.19,0.56,0.95,0.7
single-0.5,0.4,0.26,0.56,0.66,0.61
std
average-0.65,0.02,0.03,0.01,0.01,0.01
centroid-0.65,0.02,0.03,0.01,0.01,0.01
complete-0.8,0.02,0.03,0.01,0.01,0.01
single-0.5,0.02,0.01,0.01,0.02,0.01
test finished in 687.65 seconds
