,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,1.0,0.0,0.0
0.45,0.0,0.0,0.23,0.01,0.02
0.50,0.22,0.06,0.59,0.26,0.36
0.55,0.41,0.18,0.63,0.49,0.55
0.60,0.5,0.33,0.62,0.66,0.64
0.65,0.44,0.38,0.61,0.79,0.69
0.70,0.34,0.3,0.59,0.89,0.71
0.75,0.24,0.19,0.57,0.95,0.71
0.80,0.14,0.1,0.54,0.98,0.7
max
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.45,0.01,0.0,0.31,0.02,0.04
0.50,0.26,0.1,0.63,0.3,0.4
0.55,0.45,0.23,0.65,0.52,0.58
0.60,0.54,0.38,0.65,0.68,0.67
0.65,0.47,0.42,0.63,0.8,0.7
0.70,0.37,0.35,0.6,0.9,0.72
0.75,0.28,0.23,0.58,0.96,0.72
0.80,0.17,0.13,0.54,0.98,0.7
min
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.35,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.45,0.0,0.0,0.16,0.01,0.01
0.50,0.19,0.04,0.56,0.23,0.34
0.55,0.37,0.13,0.58,0.47,0.52
0.60,0.45,0.26,0.6,0.64,0.62
0.65,0.41,0.35,0.59,0.77,0.67
0.70,0.32,0.26,0.57,0.88,0.69
0.75,0.22,0.16,0.56,0.94,0.7
0.80,0.12,0.08,0.53,0.97,0.69
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.05,0.0,0.01
0.50,0.03,0.02,0.02,0.02,0.02
0.55,0.03,0.03,0.02,0.02,0.02
0.60,0.03,0.04,0.02,0.01,0.02
0.65,0.02,0.03,0.02,0.01,0.01
0.70,0.02,0.04,0.01,0.01,0.01
0.75,0.02,0.02,0.01,0.01,0.01
0.80,0.02,0.02,0.0,0.0,0.0
test finished in 519.30 seconds
