,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.36,0.2,0.5,0.49,0.5
0.45,0.36,0.25,0.51,0.58,0.55
0.50,0.35,0.27,0.53,0.66,0.59
0.55,0.33,0.25,0.55,0.73,0.63
0.60,0.31,0.21,0.55,0.8,0.65
max
0.40,0.38,0.22,0.52,0.51,0.51
0.45,0.39,0.31,0.55,0.63,0.59
0.50,0.38,0.32,0.55,0.69,0.61
0.55,0.35,0.29,0.56,0.75,0.64
0.60,0.33,0.24,0.57,0.82,0.67
min
0.40,0.35,0.19,0.49,0.48,0.49
0.45,0.33,0.22,0.49,0.57,0.53
0.50,0.33,0.23,0.51,0.65,0.58
0.55,0.3,0.21,0.53,0.71,0.61
0.60,0.28,0.18,0.54,0.79,0.64
std
0.40,0.01,0.01,0.01,0.01,0.01
0.45,0.02,0.03,0.02,0.02,0.02
0.50,0.02,0.03,0.02,0.01,0.01
0.55,0.02,0.03,0.01,0.01,0.01
0.60,0.02,0.03,0.01,0.01,0.01
test finished in 481.07 seconds
