,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.03,0.0,0.62,0.08,0.15
0.60,0.17,0.06,0.68,0.32,0.43
0.65,0.34,0.19,0.71,0.6,0.64
0.70,0.39,0.34,0.72,0.83,0.77
0.75,0.25,0.26,0.7,0.94,0.8
0.80,0.1,0.1,0.67,0.99,0.8
0.85,0.03,0.03,0.65,1.0,0.79
max
0.55,0.05,0.01,0.69,0.13,0.21
0.60,0.27,0.11,0.74,0.42,0.54
0.65,0.45,0.33,0.74,0.69,0.71
0.70,0.42,0.37,0.74,0.86,0.79
0.75,0.28,0.31,0.71,0.96,0.82
0.80,0.12,0.14,0.68,0.99,0.8
0.85,0.06,0.07,0.66,1.0,0.8
min
0.55,0.02,0.0,0.56,0.06,0.11
0.60,0.12,0.03,0.65,0.25,0.37
0.65,0.27,0.13,0.65,0.55,0.59
0.70,0.35,0.3,0.7,0.81,0.75
0.75,0.21,0.2,0.68,0.92,0.78
0.80,0.09,0.09,0.66,0.98,0.79
0.85,0.02,0.02,0.65,1.0,0.78
std
0.55,0.01,0.0,0.05,0.02,0.03
0.60,0.05,0.03,0.03,0.06,0.06
0.65,0.06,0.07,0.03,0.05,0.04
0.70,0.03,0.02,0.01,0.02,0.01
0.75,0.02,0.04,0.01,0.01,0.01
0.80,0.01,0.02,0.01,0.0,0.0
0.85,0.01,0.02,0.0,0.0,0.01
test finished in 996.16 seconds
