,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.03,0.01,0.67,0.06,0.1
0.35,0.08,0.03,0.49,0.15,0.23
0.40,0.12,0.05,0.53,0.25,0.34
0.45,0.17,0.09,0.56,0.36,0.44
0.50,0.21,0.13,0.6,0.47,0.53
0.55,0.25,0.17,0.63,0.58,0.6
0.60,0.29,0.21,0.66,0.69,0.67
0.65,0.27,0.24,0.68,0.8,0.73
0.70,0.23,0.21,0.69,0.89,0.78
max
0.30,0.08,0.02,1.0,0.14,0.21
0.35,0.1,0.03,0.58,0.19,0.28
0.40,0.18,0.09,0.59,0.31,0.41
0.45,0.22,0.13,0.63,0.39,0.48
0.50,0.27,0.19,0.66,0.5,0.57
0.55,0.31,0.24,0.67,0.62,0.63
0.60,0.37,0.31,0.7,0.72,0.71
0.65,0.38,0.38,0.73,0.83,0.77
0.70,0.29,0.31,0.71,0.9,0.8
min
0.30,0.0,0.0,0.44,0.0,0.0
0.35,0.06,0.02,0.43,0.11,0.18
0.40,0.09,0.03,0.5,0.19,0.27
0.45,0.14,0.07,0.51,0.31,0.38
0.50,0.15,0.09,0.56,0.43,0.49
0.55,0.2,0.13,0.59,0.54,0.56
0.60,0.22,0.16,0.64,0.68,0.66
0.65,0.21,0.17,0.66,0.78,0.72
0.70,0.19,0.16,0.68,0.88,0.76
std
0.30,0.03,0.01,0.24,0.06,0.09
0.35,0.01,0.0,0.05,0.03,0.03
0.40,0.03,0.02,0.03,0.04,0.05
0.45,0.03,0.02,0.04,0.03,0.03
0.50,0.04,0.03,0.03,0.03,0.03
0.55,0.04,0.04,0.03,0.03,0.02
0.60,0.05,0.05,0.02,0.01,0.02
0.65,0.06,0.07,0.02,0.02,0.02
0.70,0.03,0.05,0.01,0.01,0.01
test finished in 915.82 seconds
