,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.06,0.01,0.48,0.07,0.13
0.60,0.21,0.05,0.57,0.27,0.36
0.65,0.46,0.23,0.61,0.56,0.58
0.70,0.45,0.33,0.6,0.73,0.66
0.75,0.31,0.24,0.57,0.88,0.69
0.80,0.17,0.09,0.54,0.96,0.69
0.85,0.05,0.02,0.52,0.99,0.68
max
0.55,0.1,0.03,0.55,0.12,0.2
0.60,0.23,0.07,0.61,0.29,0.4
0.65,0.48,0.27,0.65,0.58,0.61
0.70,0.48,0.35,0.63,0.74,0.68
0.75,0.33,0.26,0.6,0.89,0.72
0.80,0.18,0.11,0.56,0.97,0.71
0.85,0.06,0.03,0.53,1.0,0.69
min
0.55,0.01,0.0,0.38,0.03,0.05
0.60,0.19,0.04,0.52,0.24,0.33
0.65,0.43,0.21,0.58,0.53,0.55
0.70,0.42,0.3,0.58,0.72,0.64
0.75,0.29,0.22,0.56,0.88,0.68
0.80,0.16,0.08,0.53,0.96,0.69
0.85,0.04,0.02,0.51,0.99,0.67
std
0.55,0.03,0.01,0.05,0.03,0.05
0.60,0.01,0.01,0.03,0.02,0.03
0.65,0.02,0.03,0.02,0.02,0.02
0.70,0.02,0.02,0.02,0.01,0.01
0.75,0.01,0.02,0.01,0.0,0.01
0.80,0.01,0.01,0.01,0.0,0.01
0.85,0.01,0.0,0.01,0.0,0.01
test finished in 779.34 seconds
