,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.06,0.01,0.51,0.07,0.12
0.60,0.2,0.05,0.58,0.26,0.35
0.65,0.42,0.22,0.6,0.53,0.56
0.70,0.45,0.37,0.61,0.73,0.66
0.75,0.34,0.28,0.59,0.89,0.71
0.80,0.17,0.1,0.55,0.97,0.7
0.85,0.05,0.02,0.52,0.99,0.68
0.90,0.01,0.0,0.51,1.0,0.67
0.95,0.0,0.0,0.51,1.0,0.67
max
0.55,0.11,0.03,0.6,0.13,0.21
0.60,0.25,0.07,0.63,0.32,0.41
0.65,0.47,0.29,0.64,0.57,0.6
0.70,0.49,0.4,0.63,0.76,0.69
0.75,0.36,0.32,0.61,0.91,0.73
0.80,0.19,0.12,0.56,0.98,0.71
0.85,0.06,0.03,0.53,0.99,0.69
0.90,0.01,0.01,0.52,1.0,0.68
0.95,0.0,0.0,0.52,1.0,0.68
min
0.55,0.0,-0.0,0.43,0.02,0.03
0.60,0.14,0.03,0.53,0.19,0.28
0.65,0.35,0.12,0.56,0.48,0.52
0.70,0.41,0.3,0.58,0.7,0.63
0.75,0.31,0.23,0.57,0.87,0.69
0.80,0.15,0.08,0.53,0.95,0.69
0.85,0.04,0.02,0.51,0.99,0.67
0.90,0.01,0.0,0.5,1.0,0.66
0.95,0.0,0.0,0.49,1.0,0.66
std
0.55,0.04,0.01,0.06,0.04,0.07
0.60,0.04,0.01,0.03,0.04,0.04
0.65,0.05,0.06,0.03,0.04,0.03
0.70,0.03,0.04,0.02,0.02,0.02
0.75,0.02,0.04,0.01,0.01,0.01
0.80,0.01,0.01,0.01,0.01,0.01
0.85,0.01,0.0,0.01,0.0,0.01
0.90,0.0,0.0,0.01,0.0,0.01
0.95,0.0,0.0,0.01,0.0,0.01
test finished in 269.60 seconds
