,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,0.77,0.0,0.0
0.65,0.0,0.0,0.48,0.0,0.01
0.70,0.0,0.0,0.47,0.03,0.05
0.75,0.02,0.0,0.47,0.14,0.21
0.80,0.32,0.17,0.59,0.73,0.65
0.85,0.16,0.15,0.55,0.98,0.7
0.90,0.04,0.03,0.51,1.0,0.68
max
0.60,-0.0,0.0,1.0,-0.0,-0.0
0.65,-0.0,-0.0,0.64,0.01,0.02
0.70,0.01,0.0,0.5,0.04,0.08
0.75,0.03,0.01,0.48,0.17,0.25
0.80,0.37,0.34,0.61,0.87,0.72
0.85,0.19,0.19,0.55,0.98,0.71
0.90,0.06,0.05,0.52,1.0,0.69
min
0.60,-0.0,0.0,0.43,-0.0,-0.0
0.65,-0.0,-0.0,0.41,0.0,0.0
0.70,0.0,0.0,0.43,0.02,0.04
0.75,0.01,0.0,0.45,0.1,0.16
0.80,0.25,0.07,0.55,0.64,0.59
0.85,0.13,0.11,0.53,0.98,0.69
0.90,0.03,0.02,0.51,0.99,0.67
std
0.60,0.0,0.0,0.24,0.0,0.0
0.65,0.0,0.0,0.08,0.0,0.01
0.70,0.0,0.0,0.02,0.01,0.01
0.75,0.01,0.0,0.01,0.02,0.03
0.80,0.04,0.09,0.02,0.07,0.04
0.85,0.02,0.03,0.01,0.0,0.01
0.90,0.01,0.01,0.0,0.0,0.01
test finished in 575.71 seconds
