,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.7,0.51,0.35,0.63,0.67,0.65
centroid-0.7,0.51,0.35,0.63,0.67,0.65
complete-0.85,0.21,0.21,0.56,0.96,0.71
single-0.55,0.34,0.19,0.49,0.53,0.51
max
average-0.7,0.53,0.4,0.65,0.71,0.68
centroid-0.7,0.53,0.4,0.65,0.71,0.68
complete-0.85,0.23,0.23,0.57,0.98,0.71
single-0.55,0.37,0.26,0.52,0.58,0.55
min
average-0.7,0.48,0.3,0.6,0.64,0.62
centroid-0.7,0.48,0.3,0.6,0.64,0.62
complete-0.85,0.2,0.18,0.55,0.95,0.7
single-0.55,0.31,0.15,0.46,0.5,0.48
std
average-0.7,0.02,0.04,0.02,0.03,0.02
centroid-0.7,0.02,0.04,0.02,0.03,0.02
complete-0.85,0.01,0.02,0.01,0.01,0.0
single-0.55,0.02,0.04,0.02,0.03,0.02
test finished in 284.12 seconds
