,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.0,0.0,0.26,0.01,0.01
0.60,0.05,0.01,0.46,0.06,0.11
0.65,0.21,0.05,0.59,0.26,0.36
0.70,0.46,0.25,0.62,0.55,0.59
0.75,0.47,0.36,0.62,0.76,0.68
0.80,0.33,0.26,0.58,0.9,0.71
0.85,0.15,0.08,0.54,0.98,0.69
max
0.55,0.0,0.0,0.43,0.01,0.02
0.60,0.1,0.01,0.59,0.12,0.2
0.65,0.25,0.07,0.63,0.31,0.41
0.70,0.5,0.3,0.64,0.59,0.61
0.75,0.48,0.39,0.63,0.77,0.69
0.80,0.35,0.29,0.59,0.91,0.72
0.85,0.16,0.09,0.55,0.98,0.7
min
0.55,0.0,0.0,0.14,0.0,0.0
0.60,0.0,0.0,0.23,0.01,0.02
0.65,0.17,0.03,0.55,0.22,0.32
0.70,0.4,0.17,0.61,0.5,0.55
0.75,0.46,0.34,0.61,0.75,0.67
0.80,0.31,0.21,0.57,0.88,0.69
0.85,0.13,0.06,0.53,0.97,0.68
std
0.55,0.0,0.0,0.11,0.0,0.01
0.60,0.03,0.01,0.12,0.04,0.06
0.65,0.03,0.01,0.03,0.03,0.03
0.70,0.03,0.04,0.01,0.03,0.02
0.75,0.01,0.02,0.01,0.01,0.01
0.80,0.01,0.03,0.01,0.01,0.01
0.85,0.01,0.01,0.01,0.0,0.01
test finished in 732.70 seconds
