,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.04,0.02,0.27,0.06,0.09
0.35,0.09,0.03,0.37,0.12,0.17
0.40,0.16,0.06,0.4,0.2,0.27
0.45,0.23,0.1,0.42,0.3,0.35
0.50,0.29,0.13,0.46,0.39,0.42
0.55,0.35,0.17,0.48,0.49,0.49
0.60,0.33,0.19,0.5,0.57,0.53
0.65,0.31,0.19,0.51,0.66,0.58
0.70,0.3,0.18,0.53,0.75,0.62
max
0.30,0.08,0.03,0.43,0.1,0.15
0.35,0.15,0.06,0.43,0.18,0.25
0.40,0.21,0.1,0.46,0.26,0.33
0.45,0.26,0.12,0.47,0.34,0.4
0.50,0.31,0.16,0.49,0.42,0.44
0.55,0.4,0.24,0.52,0.51,0.52
0.60,0.37,0.23,0.52,0.6,0.56
0.65,0.34,0.24,0.53,0.7,0.61
0.70,0.33,0.22,0.55,0.78,0.64
min
0.30,0.0,-0.0,0.17,0.01,0.01
0.35,0.07,0.01,0.28,0.08,0.14
0.40,0.11,0.03,0.34,0.15,0.21
0.45,0.19,0.07,0.38,0.25,0.3
0.50,0.26,0.11,0.43,0.35,0.39
0.55,0.3,0.13,0.45,0.45,0.45
0.60,0.3,0.15,0.48,0.54,0.51
0.65,0.28,0.15,0.5,0.64,0.56
0.70,0.27,0.15,0.51,0.73,0.6
std
0.30,0.02,0.01,0.09,0.03,0.04
0.35,0.03,0.02,0.05,0.04,0.04
0.40,0.03,0.02,0.04,0.04,0.04
0.45,0.03,0.02,0.03,0.03,0.03
0.50,0.02,0.02,0.02,0.02,0.02
0.55,0.03,0.03,0.02,0.02,0.02
0.60,0.03,0.03,0.02,0.02,0.02
0.65,0.02,0.03,0.01,0.02,0.02
0.70,0.02,0.03,0.01,0.02,0.01
test finished in 674.79 seconds
