,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.0,0.0,0.68,0.0,0.0
0.60,0.01,0.0,0.36,0.03,0.05
0.65,0.11,0.03,0.53,0.15,0.23
0.70,0.38,0.17,0.63,0.46,0.53
0.75,0.5,0.37,0.63,0.7,0.66
0.80,0.39,0.31,0.61,0.86,0.71
0.85,0.19,0.11,0.56,0.97,0.71
0.90,0.04,0.02,0.52,0.99,0.68
0.95,0.01,0.0,0.51,1.0,0.67
max
0.55,0.0,0.0,1.0,0.0,0.01
0.60,0.04,0.0,0.46,0.06,0.11
0.65,0.15,0.04,0.56,0.2,0.29
0.70,0.43,0.22,0.65,0.52,0.57
0.75,0.53,0.44,0.66,0.75,0.69
0.80,0.41,0.35,0.63,0.87,0.73
0.85,0.2,0.12,0.57,0.97,0.72
0.90,0.05,0.02,0.52,1.0,0.69
0.95,0.01,0.0,0.52,1.0,0.68
min
0.55,0.0,0.0,0.29,0.0,0.0
0.60,0.0,0.0,0.18,0.0,0.01
0.65,0.04,0.01,0.46,0.08,0.14
0.70,0.32,0.1,0.61,0.4,0.48
0.75,0.46,0.3,0.6,0.65,0.63
0.80,0.36,0.26,0.59,0.85,0.7
0.85,0.18,0.1,0.55,0.97,0.7
0.90,0.04,0.02,0.51,0.99,0.68
0.95,0.0,0.0,0.5,1.0,0.67
std
0.55,0.0,0.0,0.32,0.0,0.0
0.60,0.02,0.0,0.09,0.02,0.04
0.65,0.05,0.01,0.03,0.04,0.06
0.70,0.04,0.04,0.02,0.05,0.03
0.75,0.03,0.06,0.02,0.03,0.03
0.80,0.02,0.03,0.01,0.01,0.01
0.85,0.01,0.01,0.01,0.0,0.01
0.90,0.01,0.0,0.0,0.0,0.0
0.95,0.01,0.0,0.01,0.0,0.0
test finished in 594.26 seconds
