,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.69,0.0,0.0
0.70,0.0,0.0,0.42,0.0,0.01
0.75,0.0,0.0,0.47,0.02,0.03
0.80,0.01,0.0,0.45,0.08,0.13
0.85,0.21,0.05,0.54,0.54,0.54
0.90,0.08,0.06,0.52,0.99,0.68
max
0.60,-0.0,0.0,1.0,-0.0,-0.0
0.65,-0.0,0.0,1.0,-0.0,0.01
0.70,0.0,0.0,0.51,0.01,0.01
0.75,0.0,0.0,0.52,0.02,0.03
0.80,0.01,0.0,0.48,0.08,0.14
0.85,0.27,0.07,0.57,0.57,0.57
0.90,0.11,0.1,0.53,0.99,0.69
min
0.60,-0.0,0.0,1.0,-0.0,-0.0
0.65,-0.0,0.0,0.33,-0.0,-0.0
0.70,0.0,0.0,0.36,0.0,0.0
0.75,0.0,0.0,0.42,0.01,0.02
0.80,0.0,0.0,0.38,0.07,0.12
0.85,0.18,0.03,0.52,0.49,0.51
0.90,0.06,0.03,0.51,0.98,0.67
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.31,0.0,0.0
0.70,0.0,0.0,0.06,0.0,0.01
0.75,0.0,0.0,0.04,0.01,0.0
0.80,0.0,0.0,0.03,0.0,0.01
0.85,0.04,0.02,0.02,0.03,0.02
0.90,0.02,0.02,0.01,0.0,0.01
test finished in 1111.31 seconds
